-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: Latitude  44.8352   Longitude -0.5753 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 38.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2022,1,1,0,0.0,6.5,100.0,3.54,0.36
2022,1,1,1,0.0,6.26,100.0,3.63,0.26
2022,1,1,2,0.0,6.24,96.51,3.8,0.17
2022,1,1,3,0.0,6.27,88.6,3.91,0.02
2022,1,1,4,0.0,6.23,82.33,3.75,0.02
2022,1,1,5,0.0,5.81,79.64,3.34,0.0
2022,1,1,6,0.0,5.59,78.37,3.25,0.01
2022,1,1,7,0.0,5.44,79.04,3.21,0.07
2022,1,1,8,77.1,6.98,75.34,3.12,0.08
2022,1,1,9,197.4,9.53,67.75,3.23,0.04
2022,1,1,10,296.88,11.39,64.2,2.95,0.01
2022,1,1,11,354.73,13.25,62.47,2.39,0.0
2022,1,1,12,347.92,15.24,59.39,2.0,0.0
2022,1,1,13,286.8,16.5,58.31,1.86,0.0
2022,1,1,14,205.73,16.42,67.28,1.52,0.0
2022,1,1,15,93.5,13.81,80.49,2.15,0.0
2022,1,1,16,6.82,10.82,86.21,2.97,0.0
2022,1,1,17,0.0,10.15,89.12,3.25,0.0
2022,1,1,18,0.0,10.46,87.29,3.56,0.0
2022,1,1,19,0.0,10.04,90.16,3.56,0.0
2022,1,1,20,0.0,9.47,94.34,3.53,0.0
2022,1,1,21,0.0,9.29,95.59,3.53,0.0
2022,1,1,22,0.0,9.64,92.26,3.58,0.0
2022,1,1,23,0.0,9.59,89.28,3.62,0.0
2022,1,2,0,0.0,9.1,88.18,3.49,0.0
2022,1,2,1,0.0,8.89,85.3,3.42,0.0
2022,1,2,2,0.0,8.95,83.97,3.39,0.0
2022,1,2,3,0.0,8.67,91.67,3.27,0.0
2022,1,2,4,0.0,8.56,100.0,3.13,0.01
2022,1,2,5,0.0,8.78,100.0,2.93,0.04
2022,1,2,6,0.0,8.47,100.0,2.74,0.03
2022,1,2,7,0.0,8.14,100.0,2.61,0.04
2022,1,2,8,49.42,10.08,100.0,2.46,0.05
2022,1,2,9,125.12,12.49,92.26,2.45,0.07
2022,1,2,10,197.27,13.61,87.89,2.7,0.15
2022,1,2,11,258.95,14.01,86.65,2.76,0.09
2022,1,2,12,279.02,14.26,86.23,2.72,0.02
2022,1,2,13,239.7,15.19,81.31,3.58,0.02
2022,1,2,14,167.98,15.63,78.65,3.34,0.0
2022,1,2,15,73.15,14.01,86.0,2.47,0.0
2022,1,2,16,5.38,11.11,100.0,2.49,0.0
2022,1,2,17,0.0,10.51,100.0,2.61,0.0
2022,1,2,18,0.0,10.41,100.0,2.78,0.01
2022,1,2,19,0.0,9.77,100.0,2.98,0.01
2022,1,2,20,0.0,9.9,100.0,3.04,0.04
2022,1,2,21,0.0,9.99,100.0,3.05,0.07
2022,1,2,22,0.0,9.72,100.0,3.02,0.17
2022,1,2,23,0.0,9.49,100.0,2.96,0.24
2022,1,3,0,0.0,8.91,100.0,2.89,0.3
2022,1,3,1,0.0,8.31,100.0,2.83,0.39
2022,1,3,2,0.0,7.98,100.0,2.72,0.63
2022,1,3,3,0.0,7.83,100.0,2.51,0.94
2022,1,3,4,0.0,7.65,100.0,2.25,1.08
2022,1,3,5,0.0,7.62,100.0,2.1,0.8
2022,1,3,6,0.0,7.4,100.0,2.23,0.57
2022,1,3,7,0.0,7.43,100.0,2.74,0.35
2022,1,3,8,62.83,8.71,98.76,3.14,0.22
2022,1,3,9,166.02,10.51,91.32,3.65,0.05
2022,1,3,10,261.55,12.48,84.14,3.84,0.01
2022,1,3,11,316.85,14.52,74.57,4.47,0.0
2022,1,3,12,303.45,15.68,67.76,4.83,0.0
2022,1,3,13,267.52,16.25,65.77,4.76,0.0
2022,1,3,14,185.23,16.24,67.48,4.12,0.0
2022,1,3,15,79.93,14.56,77.24,2.84,0.01
2022,1,3,16,6.15,12.33,87.12,2.99,0.03
2022,1,3,17,0.0,12.11,89.01,3.32,0.01
2022,1,3,18,0.0,11.79,91.3,3.59,0.0
2022,1,3,19,0.0,11.47,93.4,3.99,0.01
2022,1,3,20,0.0,10.97,95.51,4.19,0.04
2022,1,3,21,0.0,11.03,92.51,4.54,0.42
2022,1,3,22,0.0,10.7,93.24,4.46,0.75
2022,1,3,23,0.0,10.7,92.92,4.35,0.52
2022,1,4,0,0.0,11.07,91.07,4.45,1.01
