-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: Latitude  47.3271   Longitude 5.0444 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 347.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2022,1,1,0,0.0,5.95,100.0,0.64,0.2
2022,1,1,1,0.0,5.61,100.0,0.7,0.29
2022,1,1,2,0.0,4.87,100.0,1.22,0.29
2022,1,1,3,0.0,4.32,100.0,1.81,0.26
2022,1,1,4,0.0,4.01,100.0,1.93,0.24
2022,1,1,5,0.0,3.97,100.0,1.86,0.2
2022,1,1,6,0.0,3.97,98.44,1.98,0.18
2022,1,1,7,4.43,3.78,97.61,1.94,0.18
2022,1,1,8,68.38,4.06,96.51,1.88,0.12
2022,1,1,9,154.07,4.81,95.06,1.84,0.07
2022,1,1,10,216.85,6.03,92.53,1.94,0.05
2022,1,1,11,261.08,7.51,88.08,2.34,0.04
2022,1,1,12,242.32,8.58,83.11,2.77,0.03
2022,1,1,13,201.3,8.86,81.77,2.91,0.02
2022,1,1,14,120.8,8.28,84.86,2.77,0.02
2022,1,1,15,30.48,5.47,98.03,2.29,0.02
2022,1,1,16,0.0,3.67,100.0,2.66,0.01
2022,1,1,17,0.0,3.08,100.0,2.78,0.01
2022,1,1,18,0.0,2.55,100.0,2.84,0.06
2022,1,1,19,0.0,2.1,100.0,2.92,0.06
2022,1,1,20,0.0,1.66,100.0,3.01,0.03
2022,1,1,21,0.0,1.64,100.0,3.07,0.04
2022,1,1,22,0.0,2.17,100.0,3.06,0.03
2022,1,1,23,0.0,2.83,100.0,3.45,0.05
2022,1,2,0,0.0,3.27,99.98,4.32,0.08
2022,1,2,1,0.0,3.52,97.61,4.69,0.1
2022,1,2,2,0.0,3.7,96.14,5.02,0.06
2022,1,2,3,0.0,3.77,94.44,5.42,0.04
2022,1,2,4,0.0,3.65,94.39,5.61,0.02
2022,1,2,5,0.0,3.47,93.96,5.79,0.02
2022,1,2,6,0.0,3.41,91.5,6.06,0.02
2022,1,2,7,3.53,3.2,90.85,5.94,0.01
2022,1,2,8,61.8,3.79,86.61,6.18,0.01
2022,1,2,9,151.1,5.65,78.82,6.34,0.02
2022,1,2,10,230.1,7.18,76.03,5.62,0.03
2022,1,2,11,260.0,8.34,75.66,5.65,0.02
2022,1,2,12,262.75,9.62,76.32,5.96,0.06
2022,1,2,13,204.55,10.51,79.52,5.46,0.02
2022,1,2,14,114.57,9.87,87.62,4.31,0.02
2022,1,2,15,25.75,8.14,98.95,4.16,0.04
2022,1,2,16,0.0,7.61,100.0,5.02,0.1
2022,1,2,17,0.0,7.97,100.0,5.77,0.24
2022,1,2,18,0.0,8.13,100.0,6.1,0.2
2022,1,2,19,0.0,8.23,99.71,6.43,0.18
2022,1,2,20,0.0,8.21,99.41,6.48,0.17
2022,1,2,21,0.0,8.11,99.23,6.57,0.18
2022,1,2,22,0.0,8.04,98.53,6.62,0.19
2022,1,2,23,0.0,8.03,97.84,6.49,0.31
2022,1,3,0,0.0,7.91,97.74,6.15,0.54
2022,1,3,1,0.0,7.79,97.81,5.92,0.63
2022,1,3,2,0.0,7.72,97.69,5.64,1.14
2022,1,3,3,0.0,8.04,97.03,5.74,1.77
2022,1,3,4,0.0,8.33,96.27,5.42,1.95
2022,1,3,5,0.0,8.43,95.19,5.14,1.89
2022,1,3,6,0.0,8.13,95.26,4.73,1.22
2022,1,3,7,2.33,7.54,97.48,4.51,0.34
2022,1,3,8,26.67,7.96,96.28,5.07,0.03
2022,1,3,9,64.95,9.03,93.03,5.91,0.01
2022,1,3,10,100.0,10.21,87.31,6.83,0.02
