-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: Latitude  50.6307   Longitude 3.061 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 41.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2022,1,1,0,0.0,10.2,98.73,4.61,0.13
2022,1,1,1,0.0,10.38,97.18,4.76,0.09
2022,1,1,2,0.0,10.22,96.28,4.72,0.06
2022,1,1,3,0.0,9.85,95.89,4.98,0.03
2022,1,1,4,0.0,9.01,96.92,5.18,0.08
2022,1,1,5,0.0,8.32,96.94,5.76,0.15
2022,1,1,6,0.0,7.91,97.08,6.27,0.15
2022,1,1,7,0.0,7.74,97.3,6.57,0.16
2022,1,1,8,25.23,7.83,96.87,6.93,0.16
2022,1,1,9,80.78,8.54,94.92,7.56,0.1
2022,1,1,10,142.57,9.23,92.53,7.71,0.01
2022,1,1,11,195.05,9.8,90.6,7.46,0.0
2022,1,1,12,207.27,10.29,89.16,7.29,0.0
2022,1,1,13,176.32,10.61,88.85,7.1,0.0
2022,1,1,14,98.43,10.5,90.48,6.79,0.0
2022,1,1,15,18.75,9.73,94.56,6.41,0.0
2022,1,1,16,0.0,9.39,96.33,6.64,0.02
2022,1,1,17,0.0,9.36,96.25,6.52,0.04
2022,1,1,18,0.0,9.08,97.25,6.17,0.1
2022,1,1,19,0.0,8.61,98.92,5.97,0.23
2022,1,1,20,0.0,8.4,98.39,6.14,0.37
2022,1,1,21,0.0,8.14,97.73,6.15,0.35
2022,1,1,22,0.0,7.78,97.51,6.03,0.54
2022,1,1,23,0.0,7.46,97.27,5.93,0.43
2022,1,2,0,0.0,7.19,97.45,5.6,0.74
2022,1,2,1,0.0,7.24,96.45,5.48,1.57
2022,1,2,2,0.0,7.3,96.33,5.56,2.74
2022,1,2,3,0.0,7.39,95.64,6.6,1.34
2022,1,2,4,0.0,7.55,94.8,7.7,1.03
2022,1,2,5,0.0,7.89,93.14,8.05,2.14
2022,1,2,6,0.0,8.23,91.83,7.99,2.58
2022,1,2,7,0.0,8.2,92.16,7.28,0.94
2022,1,2,8,21.25,8.19,93.28,7.19,0.19
2022,1,2,9,69.43,9.45,91.67,8.01,0.41
2022,1,2,10,116.5,11.09,89.0,8.74,0.8
2022,1,2,11,133.2,12.31,84.78,8.97,1.6
2022,1,2,12,128.23,12.89,81.57,9.08,2.03
2022,1,2,13,97.22,12.96,81.92,8.49,3.13
2022,1,2,14,53.4,12.67,84.03,8.06,3.63
2022,1,2,15,11.7,11.78,87.91,7.96,3.02
2022,1,2,16,0.0,10.95,91.06,8.38,2.03
2022,1,2,17,0.0,10.34,93.08,8.49,0.79
2022,1,2,18,0.0,9.94,93.9,8.51,0.5
2022,1,2,19,0.0,9.77,93.77,8.9,1.56
2022,1,2,20,0.0,9.94,93.23,9.86,7.01
2022,1,2,21,0.0,10.14,92.01,10.85,14.32
2022,1,2,22,0.0,9.88,91.69,10.52,10.25
2022,1,2,23,0.0,9.33,92.59,9.38,2.7
2022,1,3,0,0.0,8.83,94.37,8.45,0.29
2022,1,3,1,0.0,8.48,96.21,7.81,0.22
2022,1,3,2,0.0,8.36,96.86,7.61,0.6
2022,1,3,3,0.0,8.07,97.71,6.84,0.87
2022,1,3,4,0.0,7.79,98.04,6.45,1.01
2022,1,3,5,0.0,7.47,98.46,6.42,1.02
2022,1,3,6,0.0,7.27,98.2,6.78,0.83
2022,1,3,7,0.0,7.21,98.11,6.77,0.64
2022,1,3,8,18.05,7.71,97.23,7.48,0.55
2022,1,3,9,16.75,8.52,95.62,7.54,0.54
2022,1,3,10,37.6,8.97,94.14,7.43,0.94
2022,1,3,11,34.15,9.24,92.12,7.79,5.92
2022,1,3,12,70.65,9.44,91.08,7.91,10.54
2022,1,3,13,50.58,9.46,92.36,7.2,7.41
2022,1,3,14,36.38,9.32,94.4,6.22,5.65
2022,1,3,15,6.18,9.11,95.99,5.83,5.83
2022,1,3,16,0.0,8.8,97.24,5.33,3.61
2022,1,3,17,0.0,8.42,98.55,4.8,4.48
2022,1,3,18,0.0,8.36,98.15,4.88,1.41
2022,1,3,19,0.0,8.55,97.11,5.13,1.82
2022,1,3,20,0.0,8.62,97.0,5.11,2.77
2022,1,3,21,0.0,8.58,96.91,5.14,4.21
2022,1,3,22,0.0,8.54,96.7,4.94,10.62
2022,1,3,23,0.0,8.46,96.72,4.37,12.59
2022,1,4,0,0.0,8.1,97.8,3.31,18.28
2022,1,4,1,0.0,7.81,98.44,2.57,25.7
2022,1,4,2,0.0,7.64,98.59,2.12,33.48
2022,1,4,3,0.0,7.55,97.87,1.88,31.74
2022,1,4,4,0.0,7.23,98.08,1.91,22.34
2022,1,4,5,0.0,7.15,97.19,2.12,15.1
2022,1,4,6,0.0,7.0,96.43,2.38,8.12
2022,1,4,7,0.0,6.9,96.14,2.75,3.06
2022,1,4,8,15.48,7.02,95.69,3.57,3.41
2022,1,4,9,57.47,7.41,94.29,4.54,3.35
2022,1,4,10,82.5,7.55,93.85,4.69,1.37
2022,1,4,11,90.12,7.86,92.78,5.34,0.65
2022,1,4,12,93.05,8.25,91.76,5.39,1.4
2022,1,4,13,71.1,8.17,92.66,5.1,2.73
2022,1,4,14,46.47,7.99,94.23,4.79,4.79
2022,1,4,15,10.95,7.84,95.04,4.07,7.34
2022,1,4,16,0.0,7.56,95.5,2.7,12.58
2022,1,4,17,0.0,6.6,94.91,4.47,16.95
2022,1,4,18,0.0,4.81,93.05,7.08,20.96
2022,1,4,19,0.0,3.57,92.59,7.12,19.54
2022,1,4,20,0.0,3.45,90.62,6.33,10.91
