-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: Latitude  45.767   Longitude 4.8341 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 276.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2022,1,1,0,0.0,7.25,96.79,0.25,0.06
2022,1,1,1,0.0,6.99,96.49,0.19,0.08
2022,1,1,2,0.0,6.74,95.27,0.1,0.09
2022,1,1,3,0.0,6.28,94.18,0.16,0.07
2022,1,1,4,0.0,5.6,92.77,0.36,0.13
2022,1,1,5,0.0,4.8,90.88,0.62,0.18
2022,1,1,6,0.0,4.01,90.01,0.91,0.14
2022,1,1,7,10.55,3.53,89.69,1.27,0.09
2022,1,1,8,111.57,3.89,89.84,1.31,0.06
2022,1,1,9,228.7,4.9,85.55,1.24,0.02
2022,1,1,10,317.73,6.16,83.42,1.08,0.0
2022,1,1,11,355.02,8.12,79.79,1.41,0.0
2022,1,1,12,339.12,9.4,76.62,1.88,0.0
2022,1,1,13,281.4,9.88,75.31,2.13,0.0
2022,1,1,14,176.6,9.48,80.27,1.78,0.0
2022,1,1,15,53.03,7.28,85.57,1.7,0.0
2022,1,1,16,0.0,6.18,85.76,1.79,0.0
2022,1,1,17,0.0,5.95,86.8,1.8,0.0
2022,1,1,18,0.0,5.73,89.35,1.84,0.0
2022,1,1,19,0.0,5.53,93.05,1.88,0.0
2022,1,1,20,0.0,5.12,98.26,2.02,0.0
2022,1,1,21,0.0,4.21,100.0,2.4,0.0
2022,1,1,22,0.0,3.19,100.0,2.83,0.01
2022,1,1,23,0.0,2.63,100.0,3.13,0.0
2022,1,2,0,0.0,2.34,100.0,3.37,0.0
2022,1,2,1,0.0,2.34,100.0,3.63,0.0
2022,1,2,2,0.0,2.68,96.83,3.92,0.0
2022,1,2,3,0.0,3.27,86.28,4.19,0.0
2022,1,2,4,0.0,3.38,82.94,4.37,0.0
2022,1,2,5,0.0,3.56,81.08,4.72,0.0
2022,1,2,6,0.0,3.31,82.51,5.19,0.0
2022,1,2,7,6.95,2.94,85.34,5.61,0.0
2022,1,2,8,56.62,4.17,82.15,6.07,0.0
2022,1,2,9,117.82,5.56,80.16,5.69,0.0
2022,1,2,10,143.57,7.14,78.31,5.15,0.0
2022,1,2,11,178.48,9.38,74.09,4.74,0.0
2022,1,2,12,187.5,11.01,74.0,3.96,0.0
2022,1,2,13,152.3,11.52,79.08,3.03,0.0
