-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: Latitude  43.2941   Longitude 5.3736 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 317.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2022,1,1,0,0.0,8.83,61.62,1.46,0.17
2022,1,1,1,0.0,8.97,59.12,1.29,0.08
2022,1,1,2,0.0,9.05,57.16,1.01,0.08
2022,1,1,3,0.0,8.69,56.88,0.69,0.0
2022,1,1,4,0.0,7.57,61.08,0.5,0.0
2022,1,1,5,0.0,6.95,62.31,0.6,0.0
2022,1,1,6,0.0,6.73,59.41,0.62,0.0
2022,1,1,7,15.07,6.78,57.63,0.58,0.0
2022,1,1,8,82.82,8.2,63.07,0.55,0.0
2022,1,1,9,165.85,10.06,55.66,0.41,0.0
2022,1,1,10,218.85,11.41,45.25,0.45,0.0
2022,1,1,11,221.98,12.19,44.63,0.93,0.0
2022,1,1,12,206.1,12.5,46.33,1.13,0.01
2022,1,1,13,155.73,12.37,49.01,1.02,0.08
2022,1,1,14,103.45,11.56,54.59,0.81,0.09
2022,1,1,15,34.15,9.89,62.18,0.68,0.04
2022,1,1,16,0.0,8.45,63.69,0.57,0.0
2022,1,1,17,0.0,7.77,67.03,0.28,0.0
2022,1,1,18,0.0,7.18,69.66,0.45,0.0
2022,1,1,19,0.0,6.36,72.73,0.74,0.01
2022,1,1,20,0.0,6.13,72.22,0.89,0.02
2022,1,1,21,0.0,6.62,67.88,0.83,0.02
2022,1,1,22,0.0,7.13,64.28,0.68,0.05
2022,1,1,23,0.0,7.1,64.08,0.76,0.08
