-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: Latitude  48.8556   Longitude 2.349 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 92.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2022,1,1,0,0.0,6.52,100.0,2.6,0.17
2022,1,1,1,0.0,6.66,100.0,3.36,0.17
2022,1,1,2,0.0,6.73,98.27,4.16,0.2
2022,1,1,3,0.0,6.82,97.5,4.4,0.24
2022,1,1,4,0.0,6.76,97.55,4.57,0.22
2022,1,1,5,0.0,6.67,97.47,4.73,0.21
2022,1,1,6,0.0,6.56,97.53,4.86,0.21
2022,1,1,7,0.0,6.53,97.4,5.03,0.23
2022,1,1,8,52.1,6.97,96.3,5.43,0.16
2022,1,1,9,144.9,8.15,93.61,5.78,0.1
2022,1,1,10,223.18,9.37,89.74,5.78,0.07
2022,1,1,11,260.48,10.58,84.99,5.81,0.03
2022,1,1,12,249.2,11.44,81.98,5.45,0.0
2022,1,1,13,206.82,11.89,81.49,4.99,0.0
2022,1,1,14,122.57,11.55,84.36,4.46,0.0
2022,1,1,15,31.17,9.48,93.84,3.85,0.0
2022,1,1,16,0.0,8.17,100.0,4.24,0.01
2022,1,1,17,0.0,8.31,97.17,4.62,0.1
2022,1,1,18,0.0,7.99,96.46,4.38,0.06
2022,1,1,19,0.0,7.08,99.43,3.84,0.05
2022,1,1,20,0.0,6.77,99.25,3.94,0.05
2022,1,1,21,0.0,6.45,100.0,4.1,0.06
2022,1,1,22,0.0,6.4,100.0,4.45,0.07
2022,1,1,23,0.0,6.24,100.0,4.66,0.06
2022,1,2,0,0.0,6.36,100.0,4.98,0.07
2022,1,2,1,0.0,6.62,98.53,5.32,0.12
2022,1,2,2,0.0,6.64,96.38,5.24,0.15
2022,1,2,3,0.0,6.63,94.26,5.51,0.17
2022,1,2,4,0.0,6.55,91.07,6.28,0.08
2022,1,2,5,0.0,6.6,88.89,6.9,0.07
2022,1,2,6,0.0,6.67,89.26,6.6,0.03
2022,1,2,7,0.0,6.21,94.19,6.1,0.01
2022,1,2,8,39.5,6.89,94.95,6.96,0.05
2022,1,2,9,108.45,8.37,92.43,6.95,0.09
2022,1,2,10,165.62,9.99,88.78,6.67,0.05
2022,1,2,11,163.25,11.5,85.34,7.24,0.04
2022,1,2,12,127.68,12.65,82.8,7.74,0.08
2022,1,2,13,109.03,13.23,81.89,7.78,0.13
2022,1,2,14,68.62,13.08,84.06,7.97,0.14
2022,1,2,15,22.7,12.1,89.51,8.03,0.22
2022,1,2,16,0.0,11.12,94.93,8.09,0.23
2022,1,2,17,0.0,10.61,97.6,8.23,0.16
2022,1,2,18,0.0,10.59,96.25,8.41,0.34
2022,1,2,19,0.0,10.73,93.76,8.77,0.31
2022,1,2,20,0.0,10.73,92.29,8.93,0.29
2022,1,2,21,0.0,10.57,92.55,8.88,0.36
2022,1,2,22,0.0,10.23,93.8,8.36,0.25
2022,1,2,23,0.0,9.9,94.98,7.79,0.12
2022,1,3,0,0.0,9.55,95.89,7.04,0.05
2022,1,3,1,0.0,9.2,96.26,6.38,0.01
2022,1,3,2,0.0,9.0,95.89,6.27,0.02
2022,1,3,3,0.0,8.89,96.02,6.28,0.09
2022,1,3,4,0.0,8.86,96.33,6.39,0.18
2022,1,3,5,0.0,8.87,96.25,6.7,0.22
2022,1,3,6,0.0,8.93,95.97,6.87,0.49
2022,1,3,7,0.0,8.94,95.73,6.87,2.55
2022,1,3,8,24.98,9.03,94.85,6.51,2.9
2022,1,3,9,64.57,9.42,93.99,7.03,1.53
2022,1,3,10,100.25,9.94,93.2,7.61,2.43
2022,1,3,11,117.1,10.52,92.23,7.6,5.72
2022,1,3,12,102.2,11.07,91.01,7.56,6.88
2022,1,3,13,74.65,11.21,90.43,7.12,7.69
2022,1,3,14,46.55,11.01,90.72,6.77,8.93
2022,1,3,15,13.98,10.5,92.16,6.46,14.88
2022,1,3,16,0.0,10.12,93.17,6.19,22.72
2022,1,3,17,0.0,9.9,94.08,5.9,22.84
2022,1,3,18,0.0,9.71,95.47,5.34,13.1
2022,1,3,19,0.0,9.68,96.11,5.2,9.67
2022,1,3,20,0.0,9.54,97.58,4.83,10.53
2022,1,3,21,0.0,9.78,97.24,5.48,14.46
2022,1,3,22,0.0,10.11,96.57,5.89,23.36
2022,1,3,23,0.0,10.08,96.54,5.58,30.02
2022,1,4,0,0.0,10.09,95.81,5.7,47.09
2022,1,4,1,0.0,9.9,96.1,5.14,67.09
2022,1,4,2,0.0,9.66,96.83,4.27,79.18
2022,1,4,3,0.0,9.61,97.66,3.47,58.09
2022,1,4,4,0.0,9.72,98.02,2.93,46.88
2022,1,4,5,0.0,9.65,97.83,2.63,29.94
2022,1,4,6,0.0,9.08,97.08,3.8,12.76
2022,1,4,7,0.0,8.13,96.35,4.49,10.0
2022,1,4,8,15.93,7.36,95.33,4.64,24.81
2022,1,4,9,29.15,6.93,94.31,4.49,11.64
2022,1,4,10,43.22,7.04,93.34,4.07,5.48
2022,1,4,11,65.57,7.54,91.14,4.51,5.08
2022,1,4,12,97.18,8.06,88.1,4.55,3.0
2022,1,4,13,78.47,8.35,87.37,4.59,2.02
2022,1,4,14,50.5,8.17,89.87,4.48,1.66
2022,1,4,15,15.52,7.59,93.17,4.81,1.35
2022,1,4,16,0.0,7.18,94.87,5.33,1.31
2022,1,4,17,0.0,7.08,94.9,5.65,1.99
2022,1,4,18,0.0,6.95,93.74,5.81,2.1
2022,1,4,19,0.0,6.4,93.66,6.51,2.57
2022,1,4,20,0.0,4.99,92.01,8.66,3.7
2022,1,4,21,0.0,3.37,89.4,8.51,1.89
2022,1,4,22,0.0,2.88,88.42,6.88,0.46
2022,1,4,23,0.0,2.28,88.39,5.73,0.02
2022,1,5,0,0.0,0.9,92.06,4.58,0.0
2022,1,5,1,0.0,0.11,93.4,4.52,0.0
2022,1,5,2,0.0,-0.08,93.25,4.64,0.0
2022,1,5,3,0.0,-0.07,93.76,4.47,0.0
2022,1,5,4,0.0,-0.13,95.08,4.24,0.0
2022,1,5,5,0.0,-0.06,95.93,4.28,0.0
2022,1,5,6,0.0,-0.02,96.21,4.26,0.01
2022,1,5,7,0.0,0.3,94.55,4.4,0.01
2022,1,5,8,66.03,1.41,89.45,4.82,0.01
2022,1,5,9,171.4,2.93,83.91,5.43,0.01
